datatime,WROT_TemAxis1Ctrl,WROT_TemAxis2Ctrl,WROT_TemAxis3Ctrl,WROT_PtCapTemBl1,WROT_PtCapTemBl2,WROT_PtCapTemBl3,WROT_TemB1Mot,WROT_TemB2Mot,WROT_TemB3Mot,WROT_TemHub,WROT_TemHub2,WROT_TemHub3,WROT_Pitch1CapHighVol,WROT_Pitch2CapHighVol,WROT_Pitch3CapHighVol,WROT_CurBlade1Motor,WROT_CurBlade2Motor,WROT_CurBlade3Motor,WROT_Blade1Position,WROT_Blade2Position,WROT_Blade3Position,WROT_TemBlade1Inver,WROT_TemBlade2Inver,WROT_TemBlade3Inver,WTRM_TemGeaOil,WTRM_TemGeaMSDE,WTRM_TemGeaZSDE,WTRM_GBoxOilPmpP,WTRM_TemGBoxOilE,WTRM_GBoxColIntTem,WCNV_GridPPower,WCNV_GridQPower,WWPP_APProduction,WGEN_TemGenDriEnd,WGEN_TemGenNonDE,WGEN_TemGenStaU,WGEN_TemGenStaV,WGEN_TemGenStaW,WGEN_TemGenStaU2,WGEN_TemGenStaV2,WGEN_TemGenStaW3,WGEN_GenCoolAirTem,WNAC_WindSpeed,WNAC_WindDirection,WNAC_TemOut,WNAC_TemNacelleCab,WNAC_TemNacelleCabOut,WVIB_VibrationLFil,WVIB_VibrationVFil,WYAW_YawPosition,WYAW_Brake_Pressure,WTOW_TemTowerCab,WTRM_RotorSpd,WTRM_PowerStoreTRBS,WTRM_TemMainBearing,WTRM_TemMainBearing2,WGEN_GenActivePW,WGEN_GenReactivePW,WGEN_GenSpd,WGEN_Torque,WGEN_TorqueSetpoint
2022-04-17 11:20:00,25.830172413793107,29.12844827586207,27.10172413793104,25.50086206896552,25.24310344827586,25.963793103448275,17.2,16.980172413793102,16.329310344827583,23.15,23.39913793103448,21.659482758620687,59.39999999999999,59.12043103448276,59.52,0.0,0.0,0.0,89.02000000000001,89.03,88.99,25.6896551724138,31.948275862068964,28.0,35.49655172413794,33.891379310344824,31.6,-3.9732758620689648,28.58189655172414,850.0,0.0,0.0,16470653.0,27.239655172413794,23.5051724137931,35.95086206896551,34.44741379310345,33.91293103448275,850.0,850.0,850.0,27.08534482758621,1.0385344827586207,296.5397413793103,16.730172413793102,15.504310344827584,24.85086206896552,0.0,0.0,-42.96000000000001,153.5887068965517,15.504310344827584,0.0563793103448275,143.07956896551724,20.305172413793105,23.59568965517241,0.0,0.0,-0.3241379310344827,0.0,0.0
2022-04-17 11:30:00,25.85909090909091,29.26363636363636,27.113636363636363,25.571818181818188,25.29909090909091,25.91090909090909,17.20090909090909,17.049090909090907,16.4,23.23636363636364,23.46363636363636,21.674545454545456,59.39999999999999,59.13618181818181,59.52,0.0,0.0,0.0,89.02000000000001,89.03000000000002,88.98999999999998,25.581818181818186,31.963636363636365,28.0,35.50272727272728,33.82636363636363,31.599999999999994,-3.974727272727272,28.81272727272728,850.0,0.0,0.0,16470653.0,27.294545454545457,23.591818181818176,35.762727272727275,34.279090909090904,33.75272727272728,850.0,850.0,850.0,27.3,0.8797272727272728,296.7996363636364,16.383636363636363,15.686363636363636,25.15181818181819,0.0,0.0,-42.96,153.84336363636365,15.686363636363634,0.0434545454545454,143.27736363636365,20.44909090909091,23.64454545454545,0.0,0.0,0.3918181818181818,0.0,0.0
2022-04-17 11:40:00,25.800000000000004,29.32991452991453,27.10940170940172,25.68376068376068,25.29914529914529,25.9,17.241025641025644,17.178632478632476,16.463247863247865,23.418803418803417,23.64957264957264,21.797435897435896,59.4,59.13051282051283,59.52,0.0,0.0,0.0,89.02,89.03000000000002,88.98999999999998,24.017094017094017,30.803418803418804,28.0,35.1042735042735,33.766666666666666,31.6,-3.9697435897435898,29.03589743589744,850.0,0.0,0.0,16470653.0,27.3008547008547,23.60683760683761,35.579487179487174,34.10769230769231,33.60512820512821,850.0,850.0,850.0,27.41111111111111,0.3651282051282051,256.5704273504274,16.570940170940172,15.90769230769231,25.33931623931624,0.0,0.0,-42.96,154.04666666666668,15.90769230769231,0.0362393162393162,143.50264957264957,20.56239316239316,23.77179487179487,0.0,0.0,-0.2487179487179487,0.0,0.0
2022-04-17 11:50:00,25.84322033898305,29.494915254237288,27.12966101694916,25.753389830508475,25.3,25.9,17.29322033898305,17.323728813559317,16.5,23.561016949152545,23.77457627118644,21.87457627118644,59.400000000000006,59.129830508474576,59.51999999999999,0.0,0.0,0.0,89.02,89.03,88.98999999999998,25.966101694915253,31.91525423728813,28.0,35.17118644067797,33.67542372881356,31.55762711864408,-3.97,29.17457627118644,850.0,0.0,0.0,16470653.0,27.36610169491525,23.731355932203392,35.418644067796606,33.989830508474576,33.49915254237288,850.0,850.0,850.0,27.585593220338986,0.3295762711864407,157.55008474576272,16.665254237288135,16.13728813559322,25.16525423728814,0.0,0.0,-42.96000000000001,154.21677966101697,16.137288135593224,0.0391525423728813,143.64711864406777,20.71101694915254,23.8542372881356,0.0,0.0,0.3203389830508475,0.0,0.0
2022-04-17 12:00:00,25.92758620689655,29.57068965517242,27.15086206896552,25.85172413793104,25.3,25.9,17.3,17.47586206896552,16.5,23.65948275862069,23.785344827586208,21.957758620689653,59.400000000000006,59.12448275862068,59.51999999999999,0.0,0.0,0.0,89.02,89.03,88.98999999999998,26.0,32.0,28.0,35.023275862068964,33.64568965517241,31.518965517241377,-3.9681034482758615,29.35258620689655,850.0,-0.0724137931034482,0.1255172413793103,16470653.0,27.405172413793103,23.81465517241379,35.23706896551724,33.82672413793103,33.34051724137932,850.0,850.0,850.0,27.70344827586207,0.9363793103448276,138.37,16.882758620689653,16.386206896551727,25.17672413793104,0.0,0.0,-43.01258620689656,154.49172413793104,16.38534482758621,0.0428448275862069,143.73534482758623,20.85,23.975,0.0,0.0,0.3879310344827585,0.0,0.0
2022-04-17 12:10:00,26.30275229357798,29.683486238532105,27.2,26.013761467889907,25.300000000000004,25.900917431192664,17.332110091743118,17.556880733944958,16.559633027522935,23.88807339449541,23.88348623853211,21.97981651376147,59.39999999999999,59.13697247706421,59.52,0.0,0.0,0.0,89.02,89.02999999999999,88.98999999999998,26.0,31.96330275229358,28.0,34.824770642201834,33.63486238532111,31.51284403669725,-3.969357798165138,29.533027522935782,850.0,-0.0055045871559633,0.0152293577981651,16470653.0,27.483486238532112,23.88715596330276,35.06788990825689,33.711009174311926,33.25963302752293,850.0,850.0,850.0,27.890825688073388,1.181467889908257,93.34311926605504,17.942201834862388,16.61743119266055,25.78990825688073,-0.0001834862385321,0.0,-50.07917431192661,154.55990825688076,16.617431192660547,0.0643119266055045,139.65605504587154,21.009174311926607,24.05137614678899,0.0,0.0,-2.146788990825688,0.0,0.0
2022-04-17 12:20:00,26.48,29.8,27.22,26.01,25.367272727272724,25.95363636363636,17.436363636363637,17.630909090909093,16.599999999999998,23.942727272727275,24.15818181818182,22.100000000000005,59.4,59.13618181818183,59.52,0.0,0.0,0.0,89.02,89.03000000000002,88.99000000000001,25.98181818181818,31.963636363636365,28.0,35.36181818181819,33.60545454545456,31.535454545454545,-3.968181818181818,29.65727272727273,850.0,0.0,0.0,16470653.0,27.503636363636364,23.98818181818182,34.94181818181818,33.584545454545456,33.10636363636364,850.0,850.0,850.0,28.22090909090909,1.9990909090909093,38.61272727272727,17.609090909090913,16.892727272727274,25.96818181818181,0.0,0.0,-50.08,154.62027272727272,16.892727272727274,0.0730909090909091,144.0169090909091,21.130909090909093,24.12272727272727,0.0,0.0,-0.1181818181818181,0.0,0.0
2022-04-17 12:30:00,26.459821428571427,29.88839285714285,27.4625,26.0875,25.40625,25.95625,17.5,17.795535714285716,16.65535714285714,23.95803571428571,24.25089285714285,22.23035714285714,59.4,59.14160714285713,59.519464285714285,0.0,0.0,0.0,89.02,89.03,88.99,26.0,31.875,28.0,35.02589285714286,33.64642857142857,31.56160714285715,-3.966607142857143,29.79464285714286,850.0,-0.2571428571428571,0.5028571428571429,16470653.0,27.56875,24.036607142857143,34.784821428571426,33.49107142857143,33.00714285714286,850.0,850.0,850.0,28.334821428571427,1.5952678571428571,95.20660714285712,17.779464285714283,17.130357142857143,26.11517857142857,-8.92857142857e-05,0.0,-77.76044642857143,154.6370535714286,17.126785714285717,0.0560714285714285,139.09660714285715,21.25625,24.23928571428571,0.0,0.0,0.6866071428571429,0.0,0.0
2022-04-17 12:40:00,26.450434782608696,29.99304347826087,27.5,26.140000000000004,25.49217391304348,25.918260869565213,17.5,17.809565217391306,16.7504347826087,24.049565217391308,24.48260869565217,22.293043478260863,59.39956521739129,59.141826086956506,59.51895652173913,0.0,0.0,0.0,89.02,89.03,88.98999999999998,26.0,31.98260869565217,28.0,34.823478260869564,33.6,31.546956521739126,-3.968869565217392,29.866086956521738,850.0,0.0,0.0,16470653.0,27.606086956521743,24.10695652173913,34.60521739130435,33.32,32.90521739130435,850.0,850.0,850.0,28.44695652173913,1.6777391304347826,107.19939130434784,17.892173913043482,17.42086956521739,26.16695652173913,0.0,-8.69565217391e-05,-80.93,154.59078260869566,17.42086956521739,0.0539130434782608,138.40965217391303,21.400869565217395,24.300000000000004,0.0,0.0,1.1191304347826083,0.0,0.0
2022-04-17 12:50:00,26.461818181818185,30.04636363636363,27.5,26.29545454545455,25.5,25.958181818181814,17.513636363636362,17.995454545454546,16.8,24.120909090909088,24.43454545454546,22.303636363636365,59.4,59.14163636363637,59.52,0.0,0.0,0.0,89.02,89.03000000000002,88.99,26.0,30.47272727272728,28.0,34.74727272727272,33.58363636363637,31.55909090909091,-3.967090909090909,29.99636363636364,850.0,-0.6272727272727273,1.0673636363636363,16470653.0,27.69,24.21272727272728,34.483636363636364,33.226363636363644,32.79181818181818,850.0,850.0,850.0,28.575454545454544,2.111818181818182,109.70854545454549,17.955454545454543,17.683636363636364,26.25272727272728,-0.0003636363636363,-0.0006363636363636,-104.516,154.6309090909091,17.683636363636364,0.0618181818181818,141.44181818181818,21.509090909090908,24.383636363636366,0.0,0.0,0.6018181818181815,0.0,0.0
